ad_id,json_key,image_path,competitor,all_categories,all_categories_full,all_sentiments,all_sentiments_full,objects_symbols
170489,10/170489.png,./10/170489.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",creative|amused|conscious|eager,"Creative(inventive,productive)|Amused(humored,laughing)|Conscious(aware,thoughtful,prepared)|Eager(hungry,thirsty,passionate)",irony/comedy|entertainment
174042,10/174042.png,./10/174042.png,restaurant,restaurant,"Restaurants, cafe, fast food",creative|amused|alert|conscious,"Creative(inventive,productive)|Amused(humored,laughing)|Alert(attentive,curious)|Conscious(aware,thoughtful,prepared)",excuses|excuses|Home/Awake|Excuses|hazard
171489,10/171489.png,./10/171489.png,healthcare,healthcare,"Healthcare and medications (hospitals, health insurance, allergy, cold remedy, home tests, vitamins)",alarmed|creative|alert|feminine,"Alarmed(concerned,worried,anxious,overwhelmed)|Creative(inventive,productive)|Alert(attentive,curious)|Feminine(womanly,girlish)",Promiscuity |sexual promiscuity |well traveled|use condoms
173598,10/173598.png,./10/173598.png,sports,sports|clothing,"Sports equipment and activities|Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",manly|active,"Manly|Active(energetic,adventurous,vibrant,enthusiastic,playful)",Strong/Warrior|strength|hard work|strength/tennis|determination/strength
171438,10/171438.png,./10/171438.png,beauty,beauty,"Beauty products and cosmetics (deodorants, toothpaste, makeup, hair products, laser hair removal, etc.)",fashionable|feminine,"Fashionable(trendy,elegant,beautiful,attractive,sexy)|Feminine(womanly,girlish)",Rhythm|modern|pretty eyes
173529,10/173529.png,./10/173529.png,chips,chips|chocolate,"Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups|Chocolate, cookies, candy, ice cream",angry|calm|eager,"Angry(annoyed,irritated)|Calm(soothed,peaceful,comforted,fullfilled,cozy)|Eager(hungry,thirsty,passionate)",Childhood/Nursery Rhymes|Excitement/Peppiness|Fun/Excitement|distraction
172692,10/172692.png,./10/172692.png,beauty,beauty|clothing,"Beauty products and cosmetics (deodorants, toothpaste, makeup, hair products, laser hair removal, etc.)|Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",fashionable|active|feminine|creative|inspired,"Fashionable(trendy,elegant,beautiful,attractive,sexy)|Active(energetic,adventurous,vibrant,enthusiastic,playful)|Feminine(womanly,girlish)|Creative(inventive,productive)|Inspired(motivated,ambitious,empowered,hopeful,determined)",Friendship/Hangout|Beauty/Edginess
173801,10/173801.png,./10/173801.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",persuaded|creative|alert|eager,"Persuaded(impressed,enchanted,immersed)|Creative(inventive,productive)|Alert(attentive,curious)|Eager(hungry,thirsty,passionate)",nuttiness|Mystery/Romance
170962,10/170962.png,./10/170962.png,animal_right,animal_right,"Animal rights, animal abuse",alert|alarmed|afraid|conscious|inspired|educated|emotional,"Alert(attentive,curious)|Alarmed(concerned,worried,anxious,overwhelmed)|Afraid(horrified,scared,fearful)|Conscious(aware,thoughtful,prepared)|Inspired(motivated,ambitious,empowered,hopeful,determined)|Educated(informed,enlightened,smart,savvy,intelligent)|Emotional(vulnerable,moved,nostalgic,reminiscent)",endangered wildlife|Nature|death|nature|Extinction 
171932,10/171932.png,./10/171932.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",creative|eager,"Creative(inventive,productive)|Eager(hungry,thirsty,passionate)",halloween|Halloween/Spooky|halloween
