ad_id,ocr_text,sentiment_polarity,sentiment_subjectivity,top_words,top_keywords
173529,"For she's eating Necco Wafers. COOL, CRISP, REFRESHING DISKS OF MANY FINE FLAVORS IN EACH ASSORTED ROLL.",0.4033,0.6133,eating|necco|wafers,flavors|fine|eating
170963,HEY YOU ABOUT TO USE COMIC SANS FOR THAT THING YOURE MAKING... Let's make this world a more beautiful place. liliribs.com,0.5333,0.6667,hey|use|comic,making|place|thing
170241,"Let ‘em know youre SD JOCKEY. POUCH Firefighters Dallas, TX November 20, 1998",0.0,0.0,let|em|know,let|20|know
171452,TH NBOW Ski sa,0.0,0.0,th|nbow|ski,th
170880,Black Walmart 2013 How to understand this HOT event,0.0417,0.6417,black|walmart|2013,hot|2013|black
173676,Direccion hidraulica Volante de direccion regulable Alzavidrios electrico Gierre central de puertas STANZA LX Luz chapa exterior $ 3.894.000 IVA INC. Acceso maleta desde el interior STANZA SGX 5 VELOC...,0.0,0.25,lida|av|autos,control|com|000
170547,iii WE CELEBRATING ) MI ‘nat Ate YEARS IN THE UK MITSUBISHI MOTORS INTELLIGENT MOTION MITSUBISHI ASX Whichever direction your life takes you - the ASX is ready for the adventure. It can wind its way a...,0.2384,0.4577,asx|available|finance,finance|available|uk
175955,WELCOME TO MY LIVING ROOM / f | \ \ WWW.BASKINROBINS.COM HoMe delivery,0.8,0.9,welcome|living|room,home|www|com
172969,") The Greenest Power Is Power Not Used. require bulding new generating near Wise energy use an help of needs, and choices you make now can actually reduce your usage. Install FLighs. Select energy app...",0.1873,0.3959,power|energy|used,power|energy|needs
173353,before after right after,0.2857,0.5357,right,right
172746,THIS IS SPRITE. iS PRITE,0.0,0.0,sprite|prite,
173120,HILFIGER ce} € = ~ a. ce) = w,0.0,0.0,ce|hilfiger,
172907,"COOLPIX S80"" mp8 ee",0.0,0.0,coolpix|s80|mp8,ee
173645,"Yohey. I'sme, Pal, the orginal Dollar litle helpfel hint to, inom, called the hot fulge sundae and can be found on Tes ht, egy and, od for i's that your desire thats nore thon ahint et, i's sweet one....",0.3,0.75,yohey|pal|orginal,sweet|hot|et
172142,id NA ABSOLUT HEALTH,0.0,0.0,id|na|absolut,health
173376,(Y\ ?mlovin’ it®,0.0,0.0,mlovin,
171574,made to entertain.,0.0,0.0,made|entertain,
173627,Enter Passcode Emergency DON’T TEXT AND DRIVE.,0.0,0.0,enter|passcode|emergency,text|drive|don
175322,"1928 | INVENTION OF THE YO-YO This year, OREO turns 100 years young. Celebrate the kid inside at oreo.com/birthday.",0.1,0.4,1928|invention|year,oreo|celebrate|young
174539,EACH HELPS TO BEAT THE DEATH PENAL 1 EURO OF EACH 1.17 EURO/TEXT GOES TO ISH! V UP ul! Fay 4,0.0,0.0,helps|beat|death,helps|text
170836,Para més informacién l4manos al 900 33 00 03,0.0,0.0,para|més|informacién,00|al
172766,before your big inte:view,0.0,0.1,big|inte|view,big
174627,NOT YOU WHEN & 7 Sec *,-0.1,0.6,sec,
173287,FIRST SALE OF THE NEVV YEAR! SAVE UP TO >» SHOP NOW } / Tie-Front Georgete Knit Tunic Rutled Tee Utrasott Chenille Blouse Pullover we Rosette-Trim Pointelle Billowy Blouse Pleated Neckline Popcom-Stit...,0.3125,0.3333,blouse|first|sale,sale|shop|save
174756,SEE HOW A GUY AND A SANDWICH MADE HISTORY.,0.0,0.0,see|guy|sandwich,sandwich
173730,"for more information on lung cancer, keep smoking. — the lung association british colombia",0.25,0.25,lung|information|cancer,cancer|smoking|information
173717,"aw Nissan JUKE, voted Continental. Car of the Year 2011. See what all the fuss is is about at your local. Nissan dealer. : aay = nissan.ie",0.0,0.0,nissan|aw|juke,nissan|dealer|local
172012,EAU DE TOILETTE N's CHANEL,0.0,0.0,eau|de|toilette,
177922,| to RELATE to Who Is On Your PLATE,0.0,0.0,relate|plate,
172519,Nothing Will Ever Be the Same. ‘Smoking gave me throat cancer at 39. Now I breathe through a hole in my throat and need this machine to speak. Ronald Martner Quit SMOKING TODAY,0.0,0.125,smoking|throat|nothing,smoking|cancer|need
172613,"Advancing years need not rob you of romance. Not if you keep young in spirit . . . and young in look. Not if you can cheat the years with Endocreme, the hormone cream that helps so many women regain a...",0.2002,0.5658,hormone|endocreme|cream,skin|cream|young
