ad_id,json_key,image_path,competitor,all_categories,all_categories_full,all_sentiments,all_sentiments_full,objects_symbols,image_width,image_height,image_format,ocr_text,ocr_word_count,ocr_confidence_avg,text_area_px,image_area_px,text_image_ratio,layout_type,dominant_color_1,dominant_color_2,dominant_color_3,dominant_color_4,dominant_color_5,color_palette_json,extraction_status
170489,10/170489.png,./10/170489.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",creative|amused|conscious|eager,"Creative(inventive,productive)|Amused(humored,laughing)|Conscious(aware,thoughtful,prepared)|Eager(hungry,thirsty,passionate)",irony/comedy|entertainment,1024,768,PNG,N,1,76.0,1189,786432,0.0015,image_heavy,#2B2C39,#E98533,#D8D0DC,#F5CA45,#9F3B20,"[""#2B2C39"", ""#E98533"", ""#D8D0DC"", ""#F5CA45"", ""#9F3B20""]",success
174042,10/174042.png,./10/174042.png,restaurant,restaurant,"Restaurants, cafe, fast food",creative|amused|alert|conscious,"Creative(inventive,productive)|Amused(humored,laughing)|Alert(attentive,curious)|Conscious(aware,thoughtful,prepared)",excuses|excuses|Home/Awake|Excuses|hazard,600,360,PNG,,0,0.0,0,216000,0.0,image_heavy,#F6BA34,#2D2726,#DCD8D8,#BC2428,#947056,"[""#F6BA34"", ""#2D2726"", ""#DCD8D8"", ""#BC2428"", ""#947056""]",success
171489,10/171489.png,./10/171489.png,healthcare,healthcare,"Healthcare and medications (hospitals, health insurance, allergy, cold remedy, home tests, vitamins)",alarmed|creative|alert|feminine,"Alarmed(concerned,worried,anxious,overwhelmed)|Creative(inventive,productive)|Alert(attentive,curious)|Feminine(womanly,girlish)",Promiscuity |sexual promiscuity |well traveled|use condoms,499,374,PNG,,0,0.0,0,186626,0.0,image_heavy,#D9D8D8,#2E2E2E,#808080,#675F60,#6D705F,"[""#D9D8D8"", ""#2E2E2E"", ""#808080"", ""#675F60"", ""#6D705F""]",success
173598,10/173598.png,./10/173598.png,sports,sports|clothing,"Sports equipment and activities|Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",manly|active,"Manly|Active(energetic,adventurous,vibrant,enthusiastic,playful)",Strong/Warrior|strength|hard work|strength/tennis|determination/strength,400,300,PNG,,0,0.0,0,120000,0.0,image_heavy,#444019,#DFDBC3,#9B713A,#A5B68C,#929894,"[""#444019"", ""#DFDBC3"", ""#9B713A"", ""#A5B68C"", ""#929894""]",success
171438,10/171438.png,./10/171438.png,beauty,beauty,"Beauty products and cosmetics (deodorants, toothpaste, makeup, hair products, laser hair removal, etc.)",fashionable|feminine,"Fashionable(trendy,elegant,beautiful,attractive,sexy)|Feminine(womanly,girlish)",Rhythm|modern|pretty eyes,600,848,PNG,4,1,46.0,9,508800,0.0,image_heavy,#DFA791,#405531,#F0DDDC,#C03A61,#A48B3B,"[""#DFA791"", ""#405531"", ""#F0DDDC"", ""#C03A61"", ""#A48B3B""]",success
173529,10/173529.png,./10/173529.png,chips,chips|chocolate,"Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups|Chocolate, cookies, candy, ice cream",angry|calm|eager,"Angry(annoyed,irritated)|Calm(soothed,peaceful,comforted,fullfilled,cozy)|Eager(hungry,thirsty,passionate)",Childhood/Nursery Rhymes|Excitement/Peppiness|Fun/Excitement|distraction,671,578,PNG,"For she's eating Necco Wafers. COOL, CRISP, REFRESHING DISKS OF MANY FINE FLAVORS IN EACH ASSORTED ROLL.",17,94.18,20812,387838,0.0537,image_heavy,#ECECEC,#3C3C3C,#040404,#747474,#ACACAC,"[""#ECECEC"", ""#3C3C3C"", ""#040404"", ""#747474"", ""#ACACAC""]",success
172692,10/172692.png,./10/172692.png,beauty,beauty|clothing,"Beauty products and cosmetics (deodorants, toothpaste, makeup, hair products, laser hair removal, etc.)|Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",fashionable|active|feminine|creative|inspired,"Fashionable(trendy,elegant,beautiful,attractive,sexy)|Active(energetic,adventurous,vibrant,enthusiastic,playful)|Feminine(womanly,girlish)|Creative(inventive,productive)|Inspired(motivated,ambitious,empowered,hopeful,determined)",Friendship/Hangout|Beauty/Edginess,1200,805,PNG,,0,0.0,0,966000,0.0,image_heavy,#DDD4BC,#261E14,#AF8F6C,#734F31,#97714A,"[""#DDD4BC"", ""#261E14"", ""#AF8F6C"", ""#734F31"", ""#97714A""]",success
173801,10/173801.png,./10/173801.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",persuaded|creative|alert|eager,"Persuaded(impressed,enchanted,immersed)|Creative(inventive,productive)|Alert(attentive,curious)|Eager(hungry,thirsty,passionate)",nuttiness|Mystery/Romance,1200,630,PNG,FERRERO ROCHER,2,93.0,42445,756000,0.0561,image_heavy,#332B29,#CAA05E,#764B36,#949C94,#94948C,"[""#332B29"", ""#CAA05E"", ""#764B36"", ""#949C94"", ""#94948C""]",success
170962,10/170962.png,./10/170962.png,animal_right,animal_right,"Animal rights, animal abuse",alert|alarmed|afraid|conscious|inspired|educated|emotional,"Alert(attentive,curious)|Alarmed(concerned,worried,anxious,overwhelmed)|Afraid(horrified,scared,fearful)|Conscious(aware,thoughtful,prepared)|Inspired(motivated,ambitious,empowered,hopeful,determined)|Educated(informed,enlightened,smart,savvy,intelligent)|Emotional(vulnerable,moved,nostalgic,reminiscent)",endangered wildlife|Nature|death|nature|Extinction ,500,317,PNG,,0,0.0,0,158500,0.0,image_heavy,#39481D,#F4F3DF,#8AA159,#ADBC89,#7C7464,"[""#39481D"", ""#F4F3DF"", ""#8AA159"", ""#ADBC89"", ""#7C7464""]",success
171932,10/171932.png,./10/171932.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",creative|eager,"Creative(inventive,productive)|Eager(hungry,thirsty,passionate)",halloween|Halloween/Spooky|halloween,1024,449,PNG,,0,0.0,0,459776,0.0,image_heavy,#388508,#D24511,#2D161A,#DFDDBD,#7C999C,"[""#388508"", ""#D24511"", ""#2D161A"", ""#DFDDBD"", ""#7C999C""]",success
