ad_id,json_key,image_path,competitor,all_categories,all_categories_full,all_sentiments,all_sentiments_full,objects_symbols,image_width,image_height,image_format,ocr_text,ocr_word_count,ocr_confidence_avg,text_area_px,image_area_px,text_image_ratio,layout_type,dominant_color_1,dominant_color_2,dominant_color_3,dominant_color_4,dominant_color_5,color_palette_json,extraction_status,sentiment_polarity,sentiment_subjectivity,top_words,top_keywords,cluster,strategy
173529,10/173529.png,./10/173529.png,chips,chips|chocolate,"Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups|Chocolate, cookies, candy, ice cream",angry|calm|eager,"Angry(annoyed,irritated)|Calm(soothed,peaceful,comforted,fullfilled,cozy)|Eager(hungry,thirsty,passionate)",Childhood/Nursery Rhymes|Excitement/Peppiness|Fun/Excitement|distraction,671,578,PNG,"For she's eating Necco Wafers. COOL, CRISP, REFRESHING DISKS OF MANY FINE FLAVORS IN EACH ASSORTED ROLL.",17,94.18,20812,387838,0.0537,image_heavy,#ECECEC,#3C3C3C,#040404,#747474,#ACACAC,"[""#ECECEC"", ""#3C3C3C"", ""#040404"", ""#747474"", ""#ACACAC""]",success,0.4033,0.6133,eating|necco|wafers,flavors|fine|eating,0,Food & Lifestyle-Oriented Messaging
170963,10/170963.png,./10/170963.png,media,media|other_service,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)|Other services (dating, tax, legal, loan, religious, printing, catering, etc.)",alert|active|alarmed|persuaded|creative|amused|educated,"Alert(attentive,curious)|Active(energetic,adventurous,vibrant,enthusiastic,playful)|Alarmed(concerned,worried,anxious,overwhelmed)|Persuaded(impressed,enchanted,immersed)|Creative(inventive,productive)|Amused(humored,laughing)|Educated(informed,enlightened,smart,savvy,intelligent)",attention|stop ,452,560,PNG,HEY YOU ABOUT TO USE COMIC SANS FOR THAT THING YOURE MAKING... Let's make this world a more beautiful place. liliribs.,21,89.57,54742,253120,0.2163,balanced,#E4E3E5,#B82230,#343637,#6C6C6D,#BB939C,"[""#E4E3E5"", ""#B82230"", ""#343637"", ""#6C6C6D"", ""#BB939C""]",success,0.5333,0.6667,hey|use|comic,making|place|thing,0,Food & Lifestyle-Oriented Messaging
170241,10/170241.png,./10/170241.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",manly|fashionable,"Manly|Fashionable(trendy,elegant,beautiful,attractive,sexy)",hard working heroic|Strong |Desirability/Masculinity|Protection,1504,1060,PNG,"Let ‘em know youre SD JOCKEY. POUCH Firefighters Dallas, TX November , ",13,85.46,15245,1594240,0.0096,image_heavy,#2B2423,#EBE4DE,#8E5233,#BF8B4F,#96948C,"[""#2B2423"", ""#EBE4DE"", ""#8E5233"", ""#BF8B4F"", ""#96948C""]",success,0.0,0.0,let|em|know,let|20|know,2,Public Health Messaging
170880,10/170880.png,./10/170880.png,shopping,shopping,"Shopping (department stores, drug stores, groceries, etc.)",alert|creative|thrifty|conscious|educated,"Alert(attentive,curious)|Creative(inventive,productive)|Thrifty(frugal)|Conscious(aware,thoughtful,prepared)|Educated(informed,enlightened,smart,savvy,intelligent)",ELECTRONICS,836,581,PNG,Black Walmart  How to understand this HOT event,9,96.0,50297,485716,0.1036,image_heavy,#1D4962,#FBF606,#C02830,#D7D0D0,#95A035,"[""#1D4962"", ""#FBF606"", ""#C02830"", ""#D7D0D0"", ""#95A035""]",success,0.0417,0.6417,black|walmart|2013,hot|2013|black,1,Brand-Centric Product Messaging
173676,10/173676.png,./10/173676.png,cars,cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",manly|creative|conscious,"Manly|Creative(inventive,productive)|Conscious(aware,thoughtful,prepared)",Travel,1200,1600,PNG,"Direccion hidraulica Volante de direccion regulable Alzavidrios electrico Gierre central de puertas STANZA LX Luz chapa exterior $ .. IVA INC. Acceso maleta desde el interior STANZA SGX  VELOC. Control remoto maleta y $ .. IVa INC. Control electrico espejos exteriores tablero de control luces testigo multiples tunciones) Finisimas-terminaciones "" | jubricado con Av. Vicuna Mackenna  TELEFONO: ‘CONCESIONARIOS: SANTIAGO: Aufomotora Los Leones Lida. Eleodoro Los Aufocénter Lida. Carmen  Curifor Av. V. Mackenna  Besa Automotora $.A Bilbao  Camare Autos Lida. Av.  Com. Automotriz Bellavista Lida.  Concion Lhin y Cia. Lida. Av. Manuel Rodriguez  J & $ Automéviles Lida.  Soc. Com. Automotrk Crdova Autos Av. Apoquindo COPIAPO - LA SERENA: Aulomotriz Baimaceda Lida. OVALEE: SAN FELIPE: Claudio RANCAGUA: J. M. C. Autos SAN VICENTE: J. M. C. Autos RENGO: . C. Autos SAN Curlfor SA. UNARES: Sergio A. Cic. Uda. CHILLAN: Cullior S.A. TEMUCO: Com. to",153,81.28,83480,1920000,0.0435,image_heavy,#272A2B,#DACDB4,#8793A6,#AEAFB2,#928881,"[""#272A2B"", ""#DACDB4"", ""#8793A6"", ""#AEAFB2"", ""#928881""]",success,0.0,0.25,lida|av|autos,control|com|000,2,Public Health Messaging
170547,10/170547.png,./10/170547.png,cars,cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",alert|eager|active|persuaded|confident|inspired,"Alert(attentive,curious)|Eager(hungry,thirsty,passionate)|Active(energetic,adventurous,vibrant,enthusiastic,playful)|Persuaded(impressed,enchanted,immersed)|Confident(assured,strong,healthy)|Inspired(motivated,ambitious,empowered,hopeful,determined)",CAR FOR ALL VACATIONS|adventures,2000,1270,PNG,"iii WE CELEBRATING ) MI ‘nat Ate YEARS IN THE UK MITSUBISHI MOTORS INTELLIGENT MOTION MITSUBISHI ASX Whichever direction your life takes you - the ASX is ready for the adventure. It can wind its way along country lanes or glide through urban traffic. The panoramic roof? is perfect for star-lit countryside skies or mesmerising city skylines. Plus the ASX delivers up to  MPG, and is available with % APR Representative finance’. Which means that while the ASX is ready for the wildest adventure, buying one is a walk in the park. We call this Intelligent Motion. O% UPTO | WD&WD | PANORAMIC | | AVAILABLE ROOF’ MITSUBISHI ASX RANGE FROM £, - £,"" Start your great adventure | Visit mitsubishi-cars.co.uk to find your nearest dealer. . Finance plans are only available through Finance Mitsubishi,  Cockfosters Road, Barnet, EN ODY and are subject to status to customers aged  and over. Finance Mitsubishi is part of Lloyds Bank Asset Finance. % APR Representative finance rate is better than rates available from high street lenders and requires a % deposit, other offer: are available - ask for details. Indemnities may be required. Offer is only applicable in the UK (excludes NI, Channel Islands & |..M), subject to availability, whilst stocks last and may be amended or withdrawn at any time. Offer available at participating dealers between Ist April and th June . . Panoramic roof available on the ASX  only. . Price: start from £, for ASX  . petrol to £, for ASX  . diesel WD auto. Prices shown include VAT (at %), exclude VED and First Registration Fee. Prices correct at time of going to print. Metallic paint extra. Fuel figures shown are official EU test figures, to be used as a guide for comparative purposes and may not reflect real driving results. ASX range fuel consumption in mpg (Itrs/km): Urban . — . (. — .), Extra Urban . — . (. — .), Combined . — . (. — .), COz emissions  -  g/km.",343,93.38,241690,2540000,0.0952,image_heavy,#DCDCDD,#293D47,#BD2542,#7B8589,#859947,"[""#DCDCDD"", ""#293D47"", ""#BD2542"", ""#7B8589"", ""#859947""]",success,0.2384,0.4577,asx|available|finance,finance|available|uk,3,Functional Promotion Messaging
175955,10/175955.png,./10/175955.png,chocolate,chocolate|restaurant,"Chocolate, cookies, candy, ice cream|Restaurants, cafe, fast food",creative|fashionable|eager,"Creative(inventive,productive)|Fashionable(trendy,elegant,beautiful,attractive,sexy)|Eager(hungry,thirsty,passionate)",Home|Cuteness/Craving|light/fluffy|food/relaxing|Home/Stationary,3300,2550,PNG,WELCOME TO MY LIVING ROOM / f | \ \ WWW.BASKINROBINS.COM HoMe delivery,13,76.92,50723,8415000,0.006,image_heavy,#EBE5E2,#B53D61,#40303F,#96958A,#A4825C,"[""#EBE5E2"", ""#B53D61"", ""#40303F"", ""#96958A"", ""#A4825C""]",success,0.8,0.9,welcome|living|room,home|www|com,0,Food & Lifestyle-Oriented Messaging
172969,10/172969.png,./10/172969.png,environment,environment,"Environment, nature, pollution, wildlife",creative|conscious|alert|amazed,"Creative(inventive,productive)|Conscious(aware,thoughtful,prepared)|Alert(attentive,curious)|Amazed(surprised,astonished,awed,fascinated,intrigued)",environment/ go green|Light/Energy|electricity/power|environmental,700,467,PNG,") The Greenest Power Is Power Not Used. require bulding new generating near Wise energy use an help of needs, and choices you make now can actually reduce your usage. Install FLighs. Select energy appliances. ‘We can't put offall future needs and growth, but nothing canbe greener than energy nat used. j ( copy  South Mics cere Power",59,72.0,33596,326900,0.1028,image_heavy,#D7E2D5,#3A7E57,#84B888,#A2CA48,#716966,"[""#D7E2D5"", ""#3A7E57"", ""#84B888"", ""#A2CA48"", ""#716966""]",success,0.1873,0.3959,power|energy|used,power|energy|needs,3,Functional Promotion Messaging
173645,10/173645.png,./10/173645.png,chocolate,chocolate|restaurant,"Chocolate, cookies, candy, ice cream|Restaurants, cafe, fast food",creative|thrifty|eager,"Creative(inventive,productive)|Thrifty(frugal)|Eager(hungry,thirsty,passionate)",Delicious/Dessert|Casual/Friendly,539,747,PNG,"Yohey. I'sme, Pal, the orginal Dollar litle helpfel hint to, inom, called the hot fulge sundae and can be found on Tes ht, egy and, od for i's that your desire thats nore thon ahint et, i's sweet one. »",40,64.22,15083,402633,0.0375,image_heavy,#CCC2C6,#24151C,#A4723D,#803827,#7F7384,"[""#CCC2C6"", ""#24151C"", ""#A4723D"", ""#803827"", ""#7F7384""]",success,0.3,0.75,yohey|pal|orginal,sweet|hot|et,3,Functional Promotion Messaging
173627,10/173627.png,./10/173627.png,cars,cars|safety,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)|Safety, safe driving, fire safety",creative|educated|inspired,"Creative(inventive,productive)|Educated(informed,enlightened,smart,savvy,intelligent)|Inspired(motivated,ambitious,empowered,hopeful,determined)","Innovation|Christian/Religion|death|God, Religion|death / danger",1697,2400,PNG,Enter Passcode Emergency DON’T TEXT AND DRIVE.,7,94.57,24789,4072800,0.0061,image_heavy,#717D7F,#D8DCDE,#121212,#B1BDC0,#AAB4BC,"[""#717D7F"", ""#D8DCDE"", ""#121212"", ""#B1BDC0"", ""#AAB4BC""]",success,0.0,0.0,enter|passcode|emergency,text|drive|don,2,Public Health Messaging
